PID TASKCMD
1 cwd
1 rtd
1 txt
1 NOFD
1 init
1 init
1 init
1 init
8 cwd
8 rtd
8 txt
8 NOFD
9 cwd
9 rtd
9 txt
9 NOFD
10 cwd
10 rtd
10 txt
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 mem
10 0u
10 1u
10 2u
10 255u
637 cwd
637 rtd
637 txt
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 mem
637 0u
637 1u
637 2u
637 255r
639 cwd
639 rtd
639 txt
639 mem
639 mem
639 mem
639 mem
639 mem
639 mem
639 mem
639 mem
639 mem
639 0u
639 1w
639 2u
639 3r
639 4r
639 5w
639 6r
640 cwd
640 rtd
640 txt
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 mem
640 0r
640 1w
640 2u
641 cwd
641 rtd
641 txt
641 mem
641 mem
641 mem
641 mem
641 mem
641 mem
641 mem
641 mem
641 mem
641 4r
641 7w
